key,variant,target_value
activity.burnCalories,,Đốt cháy calo
activity.burnTitle,,Đã đốt
activity.dailySteps,,Số bước hàng ngày
activity.delete.title,,Xóa hoạt động
activity.deleteWorkoutDescription,,Bạn sẽ không còn thấy bài tập này nữa.
activity.deleteWorkoutTitle,,Xóa bài tập?
activity.duration,,Thời lượng
activity.empty,,"Chưa có
hoạt động"
activity.examplePlaceholder,,Ví dụ: Lướt sóng
activity.exercise,,Bài tập
activity.exerciseBurn,,Lượng calo đốt từ bài tập
activity.exercises,,Các bài tập
activity.log,,Ghi nhận bài tập
activity.loggedExercises,,Bài tập đã ghi
activity.name,,Tên hoạt động
activity.searchPlaceholder,,Tìm kiếm hoạt động
activity.title,,Hoạt động
chooseLanguage.country.english,,Tiếng Anh
chooseLanguage.country.french,,Tiếng Pháp
chooseLanguage.country.Germany,,Tiếng Đức
chooseLanguage.country.japanese,,Tiếng Nhật
chooseLanguage.country.korean,,Tiếng Hàn
chooseLanguage.country.spanish,,Tiếng Tây Ban Nha
chooseLanguage.country.vietnamese,,Tiếng Việt
chooseLanguage.title,,Ngôn ngữ
common.add,,Thêm
common.apply,,Áp dụng
common.applyChange,,Áp dụng thay đổi
common.back,,Quay lại
common.cancel,,Hủy
common.close,,Đóng
common.confirm,,Xác nhận
common.continue,,Tiếp tục
common.custom,,Tùy chỉnh
common.delete,,Xóa
common.discoverNow,,Khám phá ngay
common.done,,Xong
common.edit,,Chỉnh sửa
common.filter,,Bộ lọc
common.generate,,Tạo
common.gotIt,,Đã hiểu
common.level.high,,Cao
common.level.light,,Nhẹ
common.level.low,,Thấp
common.level.moderate,,Vừa phải
common.logMore,,Ghi thêm
common.more,,Thêm
common.next,,Tiếp theo
common.noData,,Không có dữ liệu
common.noItemMatching,,"Không tìm thấy %1$@ phù hợp.
Hãy thử tìm kiếm với từ khóa khác."
common.ok,,OK
common.paste,,Dán
common.remove,,Xóa
common.reset,,Đặt lại
common.retake,,Chụp lại
common.retry,,Thử lại
common.save,,Lưu
common.skip,,Bỏ qua
common.today,,Hôm nay
common.tryAgain,,Thử lại
common.unit.hour,,Giờ
common.unit.hour,plural.one,%lld giờ
common.unit.hour,plural.other,%lld giờ
common.unit.minute,,Phút
common.unit.minute,plural.one,%lld phút
common.unit.minute,plural.other,%lld phút
common.unsavedChanges.description,,"Nếu rời đi bây giờ, thông tin cập nhật và mục tiêu của bạn sẽ không được lưu."
common.unsavedChanges.title,,Rời đi mà không lưu?
common.yesterday,,Hôm qua
daily.recommendations,,Gợi ý hàng ngày
daily.suggestedRoutine,,Lộ trình đề xuất
daily.todaySoFar,,Tiến trình hôm nay
daily.watchOutFor,,Cần lưu ý
error.generic,,Đã xảy ra lỗi
error.noInternetDescription,,Vui lòng kiểm tra kết nối mạng và thử lại.
error.noInternetTitle,,Không có kết nối
health.criticalHigh,,Rất cao
health.criticalLow,,Rất thấp
insight.error.loadFailed,,Không thể tải phân tích
insight.generate,,Tạo phân tích
insight.generating,,Đang tạo phân tích AI
insight.notReadyDescription,,"Phân tích cá nhân hóa của bạn chưa sẵn sàng.
Chúng tôi đang phân tích dữ liệu để đưa ra
 các gợi ý hữu ích"
insight.readyTitle,,Phân tích hôm nay đã sẵn sàng
insight.title,,Phân tích hàng ngày AI
meal.analyze,,Phân tích
meal.analyzing.detectingItems,,Đang nhận diện món ăn...
meal.analyzing.finalizing,,Đang hoàn tất chi tiết...
meal.analyzing.processing,,Đang xử lý...
meal.analyzing.ready,,Sẵn sàng phân tích
meal.analyzing.searchingMatch,,Đang tìm kiếm kết quả phù hợp nhất...
meal.cameraTip.foodPosition,,Đặt món ăn vào trong khung hình và chụp ảnh rõ nét hiển thị càng nhiều nguyên liệu càng tốt.
meal.cameraTip.fullLabel,,Chụp toàn bộ nhãn
meal.cameraTip.nutritionFactsPanel,,"Đảm bảo toàn bộ bảng Bảng thành phần dinh dưỡng hiển thị rõ ràng, từ kích thước khẩu phần đến chi tiết các chất vĩ mô."
meal.cameraTip.title,,Báo mờ
meal.container.bento,,Hộp Bento
meal.container.bentoShort,,Bento
meal.container.bowl,,Bát
meal.container.cup,,Cốc
meal.container.plate,,Đĩa
meal.container.takeout,,Hộp mang về
meal.container.takeoutShort,,Hộp mang về
meal.delete.description,,Bạn sẽ không còn thấy bữa ăn này nữa.
meal.delete.title,,Xóa bữa ăn?
meal.describePlaceholder,,Mô tả bữa ăn lý tưởng của bạn (Tùy chọn)
meal.detailMealHelp,,Mô tả chi tiết bữa ăn để giúp AI phân tích chính xác hơn (Tùy chọn)
meal.discard.action,,Vẫn hủy
meal.discard.description,,Phân tích bữa ăn hiện tại của bạn chưa được lưu.
meal.discard.title,,Hủy bữa ăn này?
meal.edit.title,,Chỉnh sửa bữa ăn
meal.empty,,"Chưa có
bữa ăn"
meal.error.unrecognizedFoodDescription,,Đảm bảo món ăn được lấy nét rõ ràng và thử lại.
meal.error.unrecognizedFoodTitle,,Không thể nhận diện món ăn
meal.exceedsDailyCalories,,Vượt quá lượng calo còn lại trong ngày.
meal.fitsDailyCalories,,Phù hợp với lượng calo ước tính
meal.fitsYou,,Phù hợp với bạn
meal.foodName,,Tên món ăn
meal.labelOption,,Nhãn
meal.log,,Ghi nhận bữa ăn
meal.loggedMeals,,Bữa ăn đã ghi
meal.mealName,,Tên bữa ăn
meal.mealOption,,Bữa ăn
meal.size.estimated,,Kích thước bữa ăn ước tính
meal.size.select,,Chọn kích thước
meal.size.title,,Kích thước bữa ăn
meal.type.breakfast,,Bữa sáng
meal.type.dinner,,Bữa tối
