key,variant,fr_target,de_target,ja_target,ko_target,es_target
activity.burnCalories,,Brûler des calories,Kalorien verbrennen,消費カロリー,소모 칼로り,Quemar calorías
activity.burnTitle,,Brûlé,Verbrannt,消費済み,소모됨,Quemado
activity.dailySteps,,Pas quotidiens,Tägliche Schritte,1日の歩数,일일 걸음 수,Pasos diarios
activity.delete.title,,Supprimer l'activité,Aktivität löschen,アクティビティを削除,활동 삭제,Eliminar actividad
activity.deleteWorkoutDescription,,Vous ne verrez plus cet entraînement.,Du wirst dieses Workout nicht mehr sehen.,このワークアウトは表示されなくなります。,이 운동은 더 이상 표시되지 않습니다.,Ya no verás este entrenamiento.
activity.deleteWorkoutTitle,,Supprimer l'entraînement ?,Workout löschen?,ワークアウトを削除しますか？,운동을 삭제하시겠습니까?,¿Eliminar entrenamiento?
activity.duration,,Durée,Dauer,時間,소요 시간,Duración
activity.empty,,"Aucune
activité","Keine
Aktivität","アクティビティ
なし","활동
없음","Sin
actividad"
activity.examplePlaceholder,,ex. Surf,z. B. Surfen,例：サーフィン,예: 서핑,ej. Surf
activity.exercise,,Exercice,Übung,運動,운동,Ejercicio
activity.exerciseBurn,,Calories brûlées (exercice),Übungsverbrauch,運動消費カロリー,운동 소모 칼로리,Calorías de ejercicio
activity.exercises,,Exercices,Übungen,エクササイズ,운동 목록,Ejercicios
activity.log,,Enregistrer l'exercice,Übung aufzeichnen,運動を記録,운동 기록,Registrar ejercicio
activity.loggedExercises,,Exercices enregistrés,Aufgezeichnete Übungen,記録された運動,기록된 운동,Ejercicios registrados
activity.name,,Nom de l'activité,Aktivitätsname,アクティビティ名,활동 이름,Nombre de la actividad
activity.searchPlaceholder,,Rechercher une activité,Aktivität suchen,アクティビティを検索,활동 검색,Buscar actividad
activity.title,,Activité,Aktivität,アクティビティ,활동,Actividad
chooseLanguage.country.english,,Anglais,Englisch,英語,영어,Inglés
chooseLanguage.country.french,,Français,Französisch,フランス語,프랑스어,Francés
chooseLanguage.country.Germany,,Allemand,Deutsch,ドイツ語,독일어,Alemán
chooseLanguage.country.japanese,,Japonais,Japanisch,日本語,일본어,Japonés
chooseLanguage.country.korean,,Coréen,Koreanisch,韓国語,한국어,Coreano
